time,CO2,CO2_QC,GPP_DT,GPP_NT,G,G_QC,H_CORR,H,H_QC,H_RANDUNC,H_RANDUNC_N,LE_CORR,LE,LE_QC,LE_RANDUNC,LE_RANDUNC_N,LW_IN,LW_OUT,NEE,NEE_QC,NEE_RANDUNC,NEE_RANDUNC_N,NETRAD,NIGHT,P,PA,PPFD_DIF,PPFD_IN,PPFD_OUT,RECO_DT,RECO_NT,SWC_1,SWC_1_QC,SWC_2,SWC_2_QC,SW_IN,SW_IN_QC,SW_OUT,SW_IN_POT,TA,TA_QC,TS_1,TS_2,TS_1_QC,TS_2_QC,USTAR,VPD,VPD_QC,WS,ET,PET,RH,TEA_T_NT_75
2021-05-26 14:15:00,388.164,,10.9868940789143,10.9868940789143,,,,171.838,0.0,,,,162.425,0.0,,,,,-1.625842,0.0,,,71.8454876741489,,0.0,98402.9,,974.482211872263,,6.78710183673832,,,,,,423.687918205332,1.0,,996.3759609115,24.474,0.0,,,,,0.248589,22.7005,0.0,3.89385,0.11967474600926795,1.89632821221821e-05,0.2587242613884392,0.07249835923974474
2021-05-26 14:45:00,389.788,,10.5630204043267,10.5630204043267,,,,99.6762,0.0,,,,103.12,0.0,,,,-52.7717469091565,-3.01844,0.0,,,64.4459810563,,0.0,98377.6,,911.292736615045,,6.78396180245257,,,,,,396.214233310889,0.0,331.768252254589,996.3759609115,24.439,0.0,,,,,0.379633,22.4149,0.0,3.47622,0.07597624010256858,1.53225630169051e-05,0.2665160288615027,0.060486043742687914
2021-05-26 15:15:00,389.243,,10.2080158694667,10.2080158694667,,,,94.5588,0.0,,,,151.7,0.0,,,,,-6.34449,0.0,,,61.7594927722484,,0.0,98351.7,,871.161889912573,,6.81251948146429,,,,,,378.766039092423,1.0,,885.383552844992,24.758,0.0,,,,,0.41862,22.9197,0.0,4.64718,0.11180336901637526,2.81008219422465e-06,0.26416155975516487,0.06320657544603013
2021-05-26 15:45:00,389.878,,9.86965224858255,9.86965224858255,,,,36.3776,0.0,,,,121.539,0.0,,,,-52.0176119079445,-5.708192,0.0,,,59.0730044881968,,0.0,98332.2,,831.0310432101,,6.82598932859738,,,,,,361.317844873957,0.0,302.24484038576,885.383552844992,24.909,0.0,,,,,0.230364,23.2146,0.0,3.0927,0.08958774592437249,9.10047120363563e-05,0.2613782097883385,0.048705832856786015
2021-05-26 16:15:00,390.416,,9.6244202411584,9.6244202411584,,,,-2.76384,0.0,,,,102.846,0.0,,,,,-0.134345,0.0,,,56.3048618515672,,0.0,98311.6,,798.489910879824,,6.82946329320839,,,,,,347.169526469489,1.0,,740.735430459973,24.948,0.0,,,,,0.355773,23.0856,0.0,4.30845,0.07581179766726957,0.0001235994667475,0.267188550620002,0.04668159538457988
2021-05-26 16:45:00,393.308,,9.3673334976919,9.3673334976919,,,,-33.07,0.0,,,,59.6368,0.0,,,,-68.9360886799458,9.30054,0.0,,,53.5367192149375,,0.0,98307.0,,765.948778549548,,6.82304821710811,,,,,,333.021208065021,0.0,279.484488850083,740.735430459973,24.876,0.0,,,,,0.248027,22.9959,0.0,2.99898,0.04395753937066848,0.0001239713696736,0.26689526556725496,0.03961612230135639
2021-05-26 17:15:00,394.44,,8.72631177456928,8.72631177456928,,,,-21.9789,0.0,,,,62.6403,0.0,,,,,8.946511,0.0,,,47.4765210132682,,0.0,98285.2,,691.658650144536,,6.83026468603438,,,,,,300.721152236755,1.0,,572.28912425466,24.9570000000001,0.0,,,,,0.259806,23.0867,0.0,2.73102,0.04617501148953788,0.0001427731411936,0.2675466950322031,0.03209350727677307
2021-05-26 17:45:00,395.35,,8.06161580783465,8.06161580783465,,,,-44.5703,0.0,,,,50.3764,0.0,,,,-70.5747817225486,10.121641,0.0,,,41.4163228115988,,0.0,98266.2,,617.368521739524,,6.82937424281911,,,,,,268.421096408489,0.0,227.00477359689,572.28912425466,24.947,0.0,,,,,0.172797,22.9178,0.0,2.88696,0.03713437311411616,0.000283195405943,0.2724716955888379,0.01954940851036822
2021-05-26 18:15:00,396.097,,6.55115583605717,6.55115583605717,,,,-35.8017,0.0,,,,36.4512,0.0,,,,,9.867813,0.0,,,32.2127076005601,,0.0,98255.7,,467.619189121559,,6.83249020426686,,,,,,203.312690922417,1.0,,391.523971626259,24.982,0.0,,,,,0.279962,22.8447,0.0,3.67868,0.026870487848874115,9.39677419313751e-05,0.2763035987942778,0.015391870694062794
2021-05-26 18:45:00,396.941,,4.80547788404264,4.80547788404264,,,,-39.1465,0.0,,,,19.9928,0.0,,,,-52.3294678884611,9.448677,0.0,,,23.0090923895213,,0.0,98251.1,,317.869856503594,,6.8256329085138,,,,,,138.204285436345,0.0,115.195193046824,391.523971626259,24.905,0.0,,,,,0.319134,22.6045,0.0,2.97611,0.01473685758022558,6.92911792630415e-05,0.2806182683827315,0.007960668005333212
