TIMESTAMP_START,TIMESTAMP_END,SW_IN_F_MDS,SW_IN_F_MDS_QC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,CO2_F_MDS,LE_F_MDS,LE_F_MDS_QC,H_F_MDS,H_F_MDS_QC,PPFD_IN,PA,P,RECO_DT_VUT_USTAR50,GPP_DT_VUT_USTAR50,G_F_MDS,TA_F_MDS,TA_F_MDS_QC,USTAR,VPD_F_MDS,VPD_F_MDS_QC,WS_F,PET,ET,NETRAD,LE_CORR,ETkg,CO2_F_MDS_QC,GPP_NT_VUT_USTAR50,G_F_MDS_QC,H_CORR,H_RANDUNC,H_RANDUNC_N,LE_RANDUNC,LE_RANDUNC_N,LW_OUT,LW_IN_F_MDS,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_RANDUNC_N,NIGHT,PPFD_DIF,PPFD_OUT,RECO_NT_VUT_USTAR50,SWC_F_MDS_1,SWC_F_MDS_1_QC,SWC_F_MDS_2,SWC_F_MDS_2_QC,SW_OUT,SW_IN_POT,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC
202105261800,202105261830,2.25101553082035,1,-8.805867,0,390.826,199.123,0,147.874,0,5.1773357208868,98527.1,98527.1,2.39007599017832,0.0479472240072,-391.860001594616,23.523,0,0.407257,21.3051,0,3.73254,8.92158147646746e-05,4.52019380427942,0.398998405383551,218.15501476907,8.14325570383589e-05,-9999,0.0479472240072,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,391.523971626259,-9999,-9999,-9999,-9999
202105261830,202105261900,0,0,-10.094266,0,390.353,129.207,0,130.97,0,0,98512.1,98512.1,2.3959648401367,0,-260.177,23.604,0,0.277514,21.4943,0,4.08954,5.21879418114269e-05,2.93329517897549,0,127.602571767294,5.28441339718936e-05,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-24.8901992086987,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,391.523971626259,-9999,-9999,-9999,-9999
202105261900,202105261930,0,1,-14.468204,0,391.017,136.304,0,158.168,0,0,98484.6,98484.6,2.41436330413519,0,-336.356,23.857,0,0.266806,21.811,0,3.06903,5.95164339017702e-05,3.0951723924304,0,145.485477142608,5.57603972979035e-05,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,210.758818997859,-9999,-9999,-9999,-9999
202105261930,202105262000,0,0,-9.93544,0,389.161,184.65,0,227.885,0,0,98442.2,98442.2,2.4487060283864,0,-412.535,24.3290000000001,0,0.369813,22.5197,0,4.33463,7.56608369097609e-05,4.19492637190476,0,184.865169683521,7.55727731692484e-05,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-23.3813495483184,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,210.758818997859,-9999,-9999,-9999,-9999
202105262000,202105262030,0,1,-1.625842,0,388.164,162.425,0,171.838,0,0,98402.9,98402.9,2.45926059811428,0,-307.6656,24.474,0,0.248589,22.7005,0,3.89385,4.70671015680858e-05,3.69053214855106,0,114.98477004403,6.64859700051489e-05,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,42.3125127925451,-9999,-9999,-9999,-9999
202105262030,202105262100,0,0,-3.01844,0,389.788,103.12,0,99.6762,0,0,98377.6,98377.6,0,0,-202.7962,24.439,0,0.379633,22.4149,0,3.47622,8.68786558637539e-05,2.34295677220697,0,212.251469209798,4.22090222792048e-05,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-16.3338681150094,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,42.3125127925451,-9999,-9999,-9999,-9999
202105262100,202105262130,0,1,-6.34449,0,389.243,151.7,0,94.5588,0,0,98351.7,98351.7,0,0,-180.3564,24.758,0,0.41862,22.9197,0,4.64718,8.5115344715431e-05,3.44779447151946,0,207.879210013712,6.21129827868751e-05,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999
202105262130,202105262200,0,0,-5.708192,0,389.878,121.539,0,36.3776,0,0,98332.2,98332.2,0,0,-157.9166,24.909,0,0.230364,23.2146,0,3.0927,4.94924241734254e-05,2.76270865387519,0,120.858800756583,4.97709699579847e-05,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-14.2552146835366,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,-9999,-9999
202105262200,202105262230,0,1,-0.134345,0,390.416,102.846,0,-2.76384,0,0,98311.6,98311.6,0,0,-92.2417,24.948,0,0.355773,23.0856,0,4.30845,7.26201450355914e-05,2.33788569318408,0,177.329188847329,4.21176653707053e-05,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999
202105262230,202105262300,0,0,9.30054,0,393.308,59.6368,0,-33.07,0,0,98307,98307,0,0,-26.5668,24.876,0,0.248027,22.9959,0,2.99898,5.56092477545414e-05,1.35556345535162,0,135.800223150381,2.44208552059269e-05,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-15.995927526457,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,-9999,-9999
